marker,complexity,velocity,llm_score,llm_category
automobiles,8.583512104243594,0.0723684543395437,1.0,simple
passenger_car,11.406900597440703,0.0404288188676254,1.0,simple
motor,7.178759362459544,0.0498101802739273,1.0,simple
feature_power_type,13.083235546261337,0.0280412054691018,2.0,simple
two_persons_meeting,2.345000911066574,0.0344770302109351,1.0,simple
city_bus,6.532608908448235,0.0105442285864628,1.0,simple
automobile_manufacturers,42.72613783538148,0.0064518468422126,2.0,simple
bicycle,10.156163725511927,0.0056026755221096,1.0,simple
sport_utility_vehicle,57.37917320897833,0.0041842980043209,2.0,simple
honda_motor_company,53.59697307130424,0.0021368422295342,3.0,intermediate
toyota,48.52862684911874,0.003184181633276,3.0,intermediate
charging_station,13.01171861024964,0.0019690318097721,3.0,intermediate
deliveries,22.104601407094297,0.005037685666629,1.0,simple
ford,42.62866215313306,0.003289590188403,3.0,intermediate
volkswagen_corp,97.9031935789051,0.0011949113809195,3.0,intermediate
bmw_group,69.05729575156094,0.0019403606827775,3.0,intermediate
street_motorcycle,25.894409232324875,0.0035644957001742,2.0,simple
mercedes_benz,55.96031928640488,0.0023324805078499,3.0,intermediate
operational_issues,6.962155769013574,0.0059813030521257,2.0,simple
hyundai_motor_company,81.36877393748097,0.0014816226508649,3.0,intermediate
chassis_trailer,8.933680785863894,0.004032509684938,2.0,simple
car_crash,12.372045136679713,0.0041151499921576,2.0,simple
general_motors,60.513386122202405,0.0017346031831697,3.0,intermediate
stellantis,116.41450075252706,0.0009773481231374,3.0,intermediate
recreational_vehicle,20.081966615369037,0.0013197151101898,2.0,simple
kia_brand,62.66560301733222,0.0017666473839283,3.0,intermediate
tata_motors,61.7528221486628,0.0006813609003408,3.0,intermediate
tractor,17.102780177294147,0.00175146855199,2.0,simple
world_war_2,7.49010631751157,0.004564612071219,10.0,complex
product_recall,22.27491482706892,0.0013854900485891,2.0,simple
nissan_brand,79.75088725027844,0.0014462053763422,3.0,intermediate
incentive_spending,35.63862118321179,0.0023324805078499,2.0,simple
hyundai_brand,127.12206232775048,0.0008162838509033,3.0,intermediate
chevrolet_brand,62.18785963386847,0.0017767666052205,3.0,intermediate
ford_brand,68.82641478991003,0.0018315790538865,3.0,intermediate
audi_brand,110.88018016201428,0.0008786857155385,3.0,intermediate
maruti_suzuki,29.07677760398567,0.0008736261048924,3.0,intermediate
renault_brand,130.52673650154577,0.0007580983284732,3.0,intermediate
sugar_cane,19.40518215554139,0.000640884015172,1.0,simple
porsche,115.88748354678144,0.0007488223756221,3.0,intermediate
rivian,76.00854130100353,0.0004064553885696,3.0,intermediate
fuel_efficiency,47.578484488898056,0.001856877107117,2.0,simple
toyota_brand,62.14703069723266,0.0017076185930572,3.0,intermediate
electric_bicycle,12.4692074380063,0.0005624600501576,2.0,simple
suzuki,62.8141429258112,0.0007125618326584,3.0,intermediate
ferrari,48.30781344347957,0.0010979355102027,3.0,intermediate
original_equipment_manufacturer,29.7297484528892,0.0015035476303313,3.0,intermediate
car_sharing_industry,46.76650789611456,0.0010043327132499,3.0,intermediate
braking_system,41.29686436704856,0.0016713580500935,2.0,simple
car_registrations,40.1587045147241,0.00170171571397,2.0,simple
volvo_brand,73.9209642925791,0.0006847339741049,3.0,intermediate
byd,78.93834717444605,0.0008837453261846,3.0,intermediate
wait_time,5.602764021174905,0.0018965107238447,1.0,simple
product_discontinued,29.191082957205985,0.0012514103664675,2.0,simple
bmw_brand,182.857797536156,0.0004300669049181,3.0,intermediate
driver_assistance_system,55.8062324680869,0.0010161384714241,2.0,simple
sales_tax,16.79817920036544,0.0016637686341243,1.0,simple
lucid_motors,99.15734165124118,0.0001534748562648,3.0,intermediate
road_safety,11.731914071224518,0.0013509160425074,2.0,simple
feature_guidance,58.15874607656824,0.001115644147464,2.0,simple
windshield,21.92480502888754,0.0011476883482226,1.0,simple
li_auto,18.60882277707675,0.0005025879908454,3.0,intermediate
byd_auto,104.83486144137956,0.0002192497946641,3.0,intermediate
nio,75.8486944820257,0.0001939517414336,3.0,intermediate
ford_automotive,100.03671444148816,0.0007699040866475,3.0,intermediate
fiat_brand,52.1241948906141,0.0012547834402316,3.0,intermediate
jeep,88.54934870065763,0.0012505670980265,3.0,intermediate
rolls_royce_holdings,70.55275190600457,0.0005902879087111,3.0,intermediate
battery_as_a_service,23.767334092813385,0.0003263448866731,3.0,intermediate
lexus_brand,79.52577616735633,0.0004115149992157,3.0,intermediate
mazda_motor_corporation,102.59990378220424,0.000478976474497,3.0,intermediate
crossover_suv,48.75148650390795,0.0010507124775058,2.0,simple
hyundai_creta,116.11461677553338,0.0002597266798328,3.0,intermediate
ebit,145.73892351838617,0.0004637976425587,3.0,intermediate
honda_brand,78.59977472065556,0.0007015993429252,3.0,intermediate
jaguar_land_rover,222.28887275435977,0.0002715324380071,3.0,intermediate
nissan_motor_company,97.1338445450796,0.0004562082265896,3.0,intermediate
motorsports,68.109186282196,0.0009377145064096,3.0,intermediate
paccar,134.0688538894663,0.0001711834935262,3.0,intermediate
volkswagen_brand,100.28683977462325,0.0010026461763679,3.0,intermediate
polestar_brand,95.83003489207157,0.0001467287087367,3.0,intermediate
sportscar,103.97849383566266,0.0008129107771393,3.0,intermediate
skoda_brand,156.87572973161414,0.0003786275300161,3.0,intermediate
agricultural_machinery,28.274596578041912,0.0007833963817037,2.0,simple
subaru,61.45647245637913,0.0003912765566313,3.0,intermediate
xpeng,75.5676298180496,0.0003482698661395,3.0,intermediate
class_8_truck,21.14518704097261,0.0010448095984187,3.0,intermediate
contemporary_amperex_technology_co,17.25567223293744,0.0003988659726005,3.0,intermediate
easter,6.91354589863693,0.00106251823568,1.0,simple
renault_group,237.4173914883053,0.0001888921307875,3.0,intermediate
tesla_energy_generation_and_storage,268.8130833654754,0.0001796161779363,3.0,intermediate
social_distancing,7.933589974177508,0.001167926790807,1.0,simple
propeller_system,34.76885604109628,0.0006501599680232,2.0,simple
light_commercial_vehicle,211.1922280624184,0.0003609188927548,2.0,simple
security_risk,4.48406239537785,0.0011409422006945,2.0,simple
heavy_duty_truck,136.1965736121259,0.0005261995071939,3.0,intermediate
automotive_retail,59.9708077862329,0.0008129107771393,3.0,intermediate
lamborghini,260.3473820636181,0.0002529805323047,3.0,intermediate
product_mix,75.32702283018673,0.0010422797930956,3.0,intermediate
fiat_chrysler,483.9110762407415,0.0001340796821215,3.0,intermediate
soy,37.619397803235806,0.0007336435436838,1.0,simple
progressive,43.61784208651628,0.000269845901125,1.0,simple
apple_carplay,59.76942988154656,0.000266472827361,2.0,simple
tax_incentive,13.130209703221496,0.0012345449976472,2.0,simple
hewlett_packard_enterprise,29.202759947536844,0.000425007294272,1.0,simple
gmc,102.0760513407445,0.0004604245687946,3.0,intermediate
price_war,28.99623418982927,0.0010532422828288,2.0,simple
shared_bike,12.672248689498906,6.155859619416088e-05,2.0,simple
marketing_expense,40.82622136540694,0.000800261750524,2.0,simple
red_bull,8.358991544235272,0.000903983768769,1.0,simple
navigation_system,14.31865175471374,0.0006636522630795,2.0,simple
gearbox,92.58891062829068,0.0005278860440759,2.0,simple
peugeot_brand,244.22868708747788,0.00037356791937,3.0,intermediate
caterpillar,96.75071182574158,0.0001340796821215,3.0,intermediate
minicompact,55.12394642494517,0.0008449549778979,2.0,simple
luxury_car,70.44813825274024,0.0005582437079525,3.0,intermediate
tax_benefit,30.571490348122627,0.0009486769961428,2.0,simple
strut,8.265111196279987,0.000321285276027,2.0,simple
kia_motors,136.38981290210813,0.0001534748562648,3.0,intermediate
chrysler,116.1721541401124,0.0005042745277275,3.0,intermediate
multi_purpose_car,182.0870066359576,0.0002706891695661,2.0,simple
citroen_brand,291.5120575328687,0.0002647862904789,3.0,intermediate
lotus_brand,24.377838821163035,0.0005590869763935,3.0,intermediate
zeekr_brand,87.72793834295655,0.0001205873870652,3.0,intermediate
mg_motor,63.83203894568965,0.0001939517414336,3.0,intermediate
hyundai_motor_group,162.32668561729034,0.0002571968745098,3.0,intermediate
coupe,167.46847760239842,0.0004140448045388,2.0,simple
maserati_brand,147.9129823160151,0.0002006978889617,3.0,intermediate
subaru_brand,123.63729971736235,0.0001796161779363,3.0,intermediate
iveco,163.31245971194383,0.0001711834935262,3.0,intermediate
dodge,120.33225766284754,0.0005700494661267,3.0,intermediate
fleet_management,80.78097737101851,0.0003845304091032,3.0,intermediate
acura_brand,50.44093287197205,0.0002597266798328,3.0,intermediate
land_rover_brand,143.6847672550293,0.000322971812909,3.0,intermediate
axle,18.18402390704051,0.0011999709915656,2.0,simple
