marker,complexity,velocity,llm_score,llm_category
diabetes,20.18727595209017,0.0069881655706987,3.0,simple
alzheimers_disease,24.575180156247114,0.0028561502097208,3.0,simple
weight_loss,17.4185719280837,0.0021655133565288,2.0,simple
eli_lilly,96.75224469633908,0.0010405932562136,5.0,complex
metastat,52.714693300374215,0.0015035476303313,6.0,complex
abbvie,67.58466046579571,0.0010245711558343,4.0,simple
inflation_reduction_act_2022,11.412792742258748,0.0021832219937901,1.0,simple
astrazeneca,84.63205422681052,0.0009284385535585,4.0,simple
novo_nordisk,79.31304793973477,0.0007867694554678,4.0,simple
epilepsy,28.706087169155506,0.0006881070478689,3.0,simple
weight_loss_drug,42.63885385632104,0.0007656877444424,5.0,complex
bristolmyers_squibb,117.62255325500928,0.0006628089946384,4.0,simple
whistleblower,7.730145626408695,0.0011198604896691,2.0,simple
amgen,152.94382840023394,0.000479819742938,4.0,simple
jardiance,131.3316596540592,0.0001703402250852,5.0,complex
catheter,26.63014199607148,0.0008086944349342,3.0,simple
medtronic,44.8826161770772,0.0003575458189907,4.0,simple
ketone,28.083609852586854,0.0002951439543555,3.0,simple
moderna,40.443754702558266,0.000427537099595,4.0,simple
continuous_glucose_monitor,75.58764719807225,0.0003305612288782,5.0,complex
prevnar,57.34279360091727,0.0001197441186242,4.0,simple
novartis,90.92285210199718,0.0005700494661267,4.0,simple
health_care_technology,26.80114976535197,0.0008264030721955,3.0,simple
feature_vaccination_status,6.89724626459146,0.0011198604896691,2.0,simple
contact_lenses,57.001945735831406,0.0002715324380071,2.0,simple
baxter_international,35.49195998267352,0.0004840360851431,4.0,simple
health_care_supplies,13.320320601659184,0.0014411457656961,3.0,simple
humira,123.91926004334664,0.0002555103376278,4.0,simple
aspirin,21.79144710500385,0.0002116603786949,2.0,simple
glaxosmithkline,94.56092896136931,0.0003693515771649,4.0,simple
gilead_sciences,73.49989563740422,0.0003558592821087,4.0,simple
biogen,83.47842701685389,0.0002909276121504,4.0,simple
radiation_therapy,12.193663058977116,0.0003617621611958,4.0,intermediate
mirum_pharmaceuticals,15.322117246509972,4.216342205079512e-05,5.0,complex
fresenius_medical_care,85.01496333987178,0.0001475719771777,4.0,intermediate
boehringer_ingelheim,69.40604280729163,0.0001737132988492,4.0,intermediate
daiichi_sankyo,169.03211829964866,0.0001374527558855,4.0,intermediate
abbott_laboratories,85.54930674429464,0.0002470776532176,4.0,intermediate
roche,228.8016740683073,0.0001256469977113,4.0,intermediate
phreesia,4.07181111089258,8.179703877854253e-05,3.0,simple
mckesson,131.31402016548623,0.0001172143133012,3.0,simple
formycon,145.66297277673843,2.445478478946117e-05,4.0,intermediate
genentech,165.85359805493837,0.0002816516592993,4.0,intermediate
price_negotiation,73.5759317952011,0.0002791218539762,3.0,simple
poseida_therapeutics,41.097108336578046,5.818552243009727e-05,5.0,complex
dexcom,29.20159143234796,0.000108781628891,5.0,complex
coronavirus_test,66.09731836917082,0.0002639430220379,3.0,simple
iqvia,36.678498238883776,0.0001897353992285,4.0,intermediate
command_center,14.288667237130122,0.000428380368036,3.0,simple
crispr_therapeutics,48.60798895743908,3.879034828673151e-05,5.0,complex
nsaid,29.696334346046893,0.0001298633399164,3.0,simple
janssen_pharmaceutical,185.0392188668285,0.0001382960243266,4.0,intermediate
valoe,86.44261635432711,3.71038114046997e-05,4.0,intermediate
madrigal_pharmaceuticals,45.84909911869844,2.614132167149297e-05,5.0,complex
amicus_therapeutics,2.818498989546418,3.1200932317588385e-05,5.0,complex
opdivo,146.6685091735933,7.758069657346301e-05,4.0,intermediate
ionis_pharmaceuticals,55.819508235977125,8.769991786565383e-05,5.0,complex
talcum_powder,41.25633369508265,8.264030721955844e-05,2.0,simple
celgene,197.95442447585933,0.0001458854402957,4.0,intermediate
apellis_pharmaceuticals,37.657230144569056,0.0001028787498039,5.0,complex
novavax,257.3831612061456,5.987205931212907e-05,4.0,intermediate
eliquis,250.82114206469404,9.191626007073336e-05,4.0,intermediate
stelara,225.40259952193864,9.022972318870154e-05,4.0,intermediate
royalty_pharma,52.941202768021576,3.62605429636838e-05,4.0,intermediate
cormedix,3.241430187935733,3.37307376406361e-05,5.0,complex
eid_holiday,13.041023233518452,0.0002158767209,1.0,simple
chugai_pharmaceutical,123.49105669794992,5.481244866603366e-05,4.0,intermediate
hutchison_china_meditech,70.84155723262404,4.384995893282692e-05,4.0,intermediate
springworks_therapeutics,43.70379310375562,4.722303269689053e-05,5.0,complex
cdk_global,191.3326292800337,7.16778174863517e-05,4.0,intermediate
acadia_healthcare,6.744802116409706,2.6984590112508878e-05,4.0,intermediate
fortive,165.1468606765727,7.842396501447892e-05,4.0,intermediate
arcellx,13.10714820008211,2.782785855352478e-05,4.0,intermediate
cartesian,26.657221532002232,8.854318630666975e-05,4.0,intermediate
salix_pharmaceuticals,290.71459673652384,4.722303269689053e-05,4.0,intermediate
viking_therapeutics,40.8269976026786,4.132015360977922e-05,5.0,complex
lexicon_pharmaceuticals,126.72362101211448,2.0238442584381655e-05,4.0,intermediate
regenxbio,23.137873438466656,3.288746919962019e-05,4.0,intermediate
immunitybio,24.72721242140664,3.4574006081652e-05,4.0,intermediate
supernus_pharmaceuticals,53.7508252209548,2.2768247907429363e-05,4.0,intermediate
repatha,429.0299112209637,4.806630113790644e-05,4.0,intermediate
sage_therapeutics,79.58531796215577,5.0596106460954135e-05,4.0,intermediate
soleno_therapeutics,32.39740504553071,2.108171102539756e-05,4.0,intermediate
bausch_health,425.4720920567104,3.4574006081652e-05,4.0,intermediate
desitin,114.35813906483294,1.5178831938286244e-05,3.0,simple
