marker,complexity,velocity,llm_score,llm_category
election,2.1385462069005325,0.0495108199773666,3.0,simple
press_release,3.056369536312508,0.0430716221617692,2.0,simple
budget,2.7631056320796503,0.0416768561603289,4.0,simple
oil_gas_consumable_fuels,9.420501928730832,0.0226299518831027,7.0,complex
households,3.8307635642995863,0.0156299805542297,3.0,simple
collapse,2.657945476558906,0.0285370473124191,6.0,intermediate
speech,2.088966474272338,0.0211896493858475,2.0,simple
sanctions,5.433529713249799,0.0133733942060711,5.0,simple
resignation,2.1175433897109497,0.015116430073651,3.0,simple
public_services,1.856841277865396,0.0087269850960735,4.0,simple
tires,5.734095645639017,0.0045485899708397,5.0,simple
liquid_natural_gas,29.093949371270405,0.0030998547891744,6.0,intermediate
certificate_of_deposit,3.303016971543673,0.0027380926279786,2.0,simple
pumps,4.719136844578765,0.0072074153653629,4.0,simple
public_safety,2.431534465349677,0.0086662697683204,4.0,simple
petrochemicals,34.91999247371386,0.0017556848941951,7.0,complex
feature_liquidity_of_stocks,9.027569037578408,0.0065117189015247,5.0,simple
oil_gas_refining,26.8593548572367,0.0033756035693866,7.0,complex
household_appliances,6.037219899426737,0.0043765632088725,4.0,simple
biofuel,23.515577374701707,0.0016688282447704,6.0,intermediate
rubber,6.517194022617921,0.0035138995937132,5.0,simple
oil_gas_pipelines,26.011456889050997,0.0039650482096567,7.0,complex
personal_income,4.071122992465171,0.0058413204909171,4.0,simple
hydropower,16.050754102452025,0.0027018320850149,5.0,simple
ammonia,26.51233001255873,0.0014968014828032,6.0,intermediate
wells,14.928990222767634,0.0037457984149926,6.0,intermediate
methane,29.435036052245064,0.0015161966569465,6.0,intermediate
electric_utilities,9.95421912963027,0.0028612098203669,5.0,simple
oil_gas_drilling,22.25497484422301,0.0032592325245264,7.0,complex
biogas,43.16010567325002,0.0005051177961685,6.0,intermediate
carbon_capture,24.84763296441734,0.0015516139314692,7.0,complex
lubricant,21.035120251018444,0.0015263158782387,5.0,simple
trade_war,4.35880871595206,0.0037769993473102,6.0,intermediate
essential_oils,19.77968142607105,0.0016730445869755,5.0,simple
investor_sentiment,5.579305640895015,0.0053201805943693,5.0,simple
capital_goods,4.8707331234309645,0.0010287874980394,5.0,simple
chevron,35.553656640931514,0.0011856354280683,6.0,intermediate
price_hike,9.053497894161705,0.0023780170036648,5.0,simple
recession,6.962320826886934,0.0037255599724082,6.0,intermediate
exxon_mobil,42.45145437019115,0.0010549288197108,6.0,intermediate
mercury,3.1016879887271678,0.0021351556926522,5.0,simple
sulfur,26.60042798021861,0.0013239314523949,5.0,simple
grant,6.394852919320202,0.0024716198006176,3.0,simple
energy_security,17.990367582308373,0.0026605119314051,7.0,complex
oil_gas_exploration_production,35.383214358510926,0.0019327712668084,7.0,complex
gas_station,10.921129247179453,0.0023695843192546,4.0,simple
acquisition_by,3.637829729254338,0.0050587673776543,5.0,simple
schlumberger,29.03594772947357,0.0002614132167149,6.0,intermediate
software_defined_network,7.913253520662472,0.0012691190037289,5.0,simple
capitalism,3.3311760435308524,0.0013736842904149,5.0,simple
biodiesel,50.0846956188672,0.0004241640258309,6.0,intermediate
climate_disaster,4.53912937110761,0.0021916546782003,6.0,intermediate
saudi_aramco,38.01421777035869,0.0004241640258309,6.0,intermediate
jet_fuel,37.72241447954006,0.000852544393867,6.0,intermediate
propane,26.940322297627965,0.0011814190858632,5.0,simple
game_as_a_service,3.3992673936131497,0.0012589997824367,4.0,simple
oil_gas_equipment,24.98943309795112,0.0016730445869755,7.0,complex
oil_gas_storage,35.79683675570033,0.0009621692911991,7.0,complex
total_sa,40.84719626270003,0.0006982262691611,6.0,intermediate
rosneft,81.8759927215202,6.74614752812722e-05,6.0,intermediate
financial_stimulus,9.951450897185705,0.0019234953139572,5.0,simple
tanker,20.93381364084406,0.0010979355102027,6.0,intermediate
borrowing_capacity,11.090324004656091,0.0022726084485378,5.0,simple
china_petroleum_chemical,83.60169639392956,0.0001560046615879,6.0,intermediate
macro_conditions,5.970310195616205,0.0017177378143493,6.0,intermediate
gazprom_neft,22.04394711234613,0.0007159349064225,6.0,intermediate
community_involvement,5.806957899845606,0.0018256761747994,4.0,simple
brent_crude_oil,27.312984659976376,0.0014141611755836,6.0,intermediate
user_base,7.844637840981208,0.0013956092698813,4.0,simple
