marker,complexity,rank
writing_instrument,9.344835699238303,bottom
feature_price_point,11.208492802535012,bottom
xiaomi,14.15429013466034,bottom
back_to_school,23.719514427570573,bottom
fp_corp,36.3203477038558,bottom
firmware,38.55208954591471,bottom
nvidia,39.58041640910898,bottom
tablet,43.2426788429146,bottom
technology_hardware_storage_peripherals,47.120325419310696,bottom
display_panels,47.63441580236269,bottom
core_i7,428.85427079933964,top
elitegroup_computer_systems,432.8793038546988,top
elitebook,461.74622792108426,top
microsoft_surface_pro,462.4988784343852,top
amd_ryzen,473.4623469316298,top
mini_pc,554.2677384885147,top
amd_ryzen_7,579.9344584693789,top
business_laptop,631.0044388521834,top
omen,690.2548030379781,top
lenovo_thinkpad_x1_carbon,851.296031171337,top
